"","subj","purpleWHITE","pc50_i","pc50_c","blueBLUE","whiteBLUE","purplePURPLE","whiteWHITE","redBLUE","bluePURPLE","redRED","redWHITE","blueRED","purpleRED","purpleBLUE","whitePURPLE","blueWHITE","redPURPLE","whiteRED","nuisance"
"1","107321",9,36,36,9,9,9,9,9,8,9,8,9,9,9,9,9,9,9,2
"2","115825",9,35,36,9,9,9,9,7,9,9,9,8,9,9,9,9,9,8,5
"3","123117",8,36,36,8,9,9,9,7,9,9,9,8,9,9,8,8,9,8,8
"4","130114",9,35,36,9,9,9,9,8,9,8,8,9,9,9,9,8,8,9,6
"5","130518",9,36,36,9,9,9,9,9,8,9,9,9,9,9,8,9,9,9,2
"6","132017",9,36,36,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,0
"7","135730",9,35,35,9,8,9,9,9,9,9,8,9,9,9,8,7,8,9,8
"8","138837",8,32,36,9,9,9,9,8,8,9,9,8,8,8,9,6,9,9,13
"9","141422",9,36,35,9,8,9,9,9,9,9,9,9,9,9,9,9,9,9,2
"10","150423",9,36,35,9,9,9,9,9,9,9,9,9,9,9,9,9,8,9,2
"11","153429",9,36,36,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,0
"12","155938",9,33,34,9,8,9,9,8,9,7,8,8,9,8,9,9,9,8,13
"13","158136",8,33,35,7,9,9,9,9,8,9,9,9,9,9,9,9,9,9,8
"14","160830",7,33,31,8,9,8,8,7,9,9,7,9,8,8,7,6,8,8,26
"15","161832",7,34,34,9,9,8,9,9,8,9,9,8,9,9,9,9,9,9,9
"16","162026",9,36,36,9,8,9,9,9,9,9,9,9,9,9,9,9,8,9,2
"17","165032",8,33,35,8,9,8,8,9,7,9,8,9,8,9,9,8,9,7,15
"18","171330",9,36,36,9,9,9,9,9,9,9,9,9,9,9,8,9,9,9,1
"19","173738",9,35,36,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1
"20","178243",7,36,35,9,8,9,9,8,9,8,8,9,9,9,6,8,6,7,16
"21","178647",9,35,36,9,9,9,9,8,8,9,8,8,8,9,9,9,9,8,7
"22","178950",9,36,36,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,0
"23","179245",6,30,30,8,8,8,8,8,8,7,7,9,9,7,9,9,6,8,31
"24","182436",9,33,36,9,9,9,9,6,9,9,8,8,9,7,9,8,9,7,13
"25","197449",8,34,36,9,9,9,9,8,9,9,9,9,9,8,9,9,9,9,5
"26","198855",7,29,26,9,5,8,8,5,7,8,8,9,8,4,7,7,6,7,48
"27","203418",9,36,36,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,0
"28","204319",9,35,36,9,9,9,9,9,8,9,9,9,9,7,9,9,9,9,4
"29","205220",9,35,36,9,9,9,9,9,9,9,9,9,9,9,9,9,8,9,2
"30","214524",9,36,36,9,9,9,9,9,9,9,7,9,9,9,9,9,9,9,2
"31","233326",8,32,29,9,8,9,7,5,8,9,8,7,7,7,4,6,7,7,39
"32","300618",9,36,36,9,9,9,9,9,9,9,8,9,9,9,9,9,9,9,1
"33","317332",9,26,27,9,9,9,9,9,9,8,9,8,9,9,8,9,8,9,23
"34","346945",9,36,36,9,9,9,9,9,9,9,9,9,9,9,9,8,9,9,1
"35","352738",9,31,36,9,8,9,9,8,9,9,8,9,9,9,8,9,9,9,9
"36","393550",9,36,36,9,9,9,9,9,9,9,8,8,9,9,9,9,9,9,2
"37","432332",9,36,34,9,9,9,9,8,9,9,9,9,9,9,9,9,9,8,4
"38","448347",9,35,36,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1
"39","568963",9,36,35,9,9,9,9,8,9,9,9,9,9,9,9,9,9,9,2
"40","580650",9,34,36,9,8,8,9,8,9,9,8,8,9,8,9,9,9,9,8
"41","594156",9,36,36,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,0
"42","601127",8,30,35,9,8,9,9,8,7,9,9,9,8,9,9,9,9,9,13
"43","623844",9,36,36,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,0
"44","672756",9,33,36,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,3
"45","729254",9,36,36,9,9,9,9,8,9,9,9,8,9,8,7,8,9,8,7
"46","765864",9,36,36,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,0
"47","814649",9,34,36,9,9,8,9,9,9,9,9,9,9,9,9,9,8,9,4
"48","843151",9,36,36,9,9,9,9,9,9,9,9,9,8,8,9,9,9,8,3
"49","849971",9,35,35,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2
"50","873968",9,36,36,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,0
"51","877168",9,36,35,9,9,9,9,9,9,9,9,9,9,9,9,9,9,8,2
"52","882161",9,35,36,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1
"53","DMCC1328342",9,36,36,9,9,9,9,9,8,9,9,9,9,7,9,9,9,9,3
"54","DMCC1596165",9,36,36,9,9,9,9,9,9,9,9,9,9,9,9,9,9,8,1
"55","DMCC1971064",9,36,36,9,9,9,9,9,9,9,9,9,9,9,9,8,9,9,1
"56","DMCC2442951",9,36,36,9,9,9,8,8,9,9,9,9,9,9,9,9,9,9,2
"57","DMCC2609759",9,36,36,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,0
"58","DMCC2803654",9,33,36,9,9,9,9,9,9,9,9,9,9,9,9,8,9,9,4
"59","DMCC2834766",9,35,36,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1
"60","DMCC3062542",9,36,36,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,0
"61","DMCC3963378",9,36,36,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,0
"62","DMCC4191255",9,36,36,9,9,9,9,9,9,9,9,8,9,9,9,9,9,9,1
"63","DMCC4260551",9,36,36,9,9,9,9,9,9,9,9,9,9,9,9,9,9,8,1
"64","DMCC4368773",9,35,36,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1
"65","DMCC4854075",8,35,35,9,9,9,9,9,9,9,9,9,9,9,9,9,9,7,5
"66","DMCC5009144",9,36,36,9,9,9,9,8,9,9,9,9,9,8,9,9,9,9,2
"67","DMCC5065053",9,36,36,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,0
"68","DMCC5195268",9,36,36,9,9,9,9,9,8,9,9,8,9,9,9,9,9,9,2
"69","DMCC5244053",9,36,35,9,9,9,9,9,9,9,9,9,8,9,9,8,8,8,5
"70","DMCC5775387",9,35,36,9,9,9,9,9,9,9,9,9,9,9,9,9,8,6,5
"71","DMCC6371570",8,34,36,9,8,9,9,9,6,9,8,9,9,9,8,8,9,9,10
"72","DMCC6418065",9,36,36,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,0
"73","DMCC6484785",9,36,36,9,9,9,9,9,9,9,8,9,9,9,9,9,9,9,1
"74","DMCC6627478",9,36,36,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,0
"75","DMCC6661074",9,36,36,9,8,9,9,9,9,9,9,9,9,9,9,9,9,9,1
"76","DMCC6671683",9,36,36,9,9,9,9,9,9,9,8,9,9,9,9,9,9,9,1
"77","DMCC6705371",9,36,36,9,9,9,9,9,9,9,9,9,9,9,9,8,9,9,1
"78","DMCC6721369",9,36,36,9,9,9,9,9,8,9,9,9,9,9,8,9,8,9,3
"79","DMCC6904377",7,36,36,9,8,9,9,9,9,9,9,8,8,9,8,9,9,9,6
"80","DMCC6960387",9,36,36,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,0
"81","DMCC7297690",9,36,36,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,0
"82","DMCC7921988",9,34,36,9,9,9,9,9,8,9,9,9,9,9,9,9,8,7,6
"83","DMCC8033964",9,36,36,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,0
"84","DMCC8050964",9,36,36,9,9,9,9,9,9,9,9,9,9,9,8,9,9,9,1
"85","DMCC8078683",9,36,36,9,9,9,9,9,8,9,9,9,9,9,9,9,9,9,1
"86","DMCC8214059",9,33,36,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,3
"87","DMCC8260571",9,36,36,9,9,9,9,9,9,9,9,9,9,9,9,9,9,8,1
"88","DMCC8760894",9,36,36,9,9,9,8,9,9,9,9,9,9,9,9,8,9,9,2
"89","DMCC9441378",8,35,36,9,9,9,9,8,7,9,9,9,7,9,9,9,9,9,7
"90","DMCC9478705",9,30,34,8,9,9,9,8,7,9,9,8,9,8,9,9,9,8,15
"91","DMCC9850294",9,35,36,9,9,9,9,9,7,9,9,9,9,9,9,9,9,9,3
"92","DMCC9953810",9,35,36,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1
